

lambda(m), Y
1.6e-06, 0.984977
1.59946e-06, 0.983976
1.59893e-06, 0.984376
1.59839e-06, 0.984723
1.59786e-06, 0.9836
1.59732e-06, 0.984699
1.59679e-06, 0.98371
1.59626e-06, 0.983565
1.59572e-06, 0.984093
1.59519e-06, 0.982539
1.59466e-06, 0.983358
1.59413e-06, 0.982392
1.59359e-06, 0.981522
1.59306e-06, 0.982045
1.59253e-06, 0.979923
1.592e-06, 0.980068
1.59147e-06, 0.978844
1.59094e-06, 0.976716
1.59041e-06, 0.976551
1.58988e-06, 0.97304
1.58935e-06, 0.971178
1.58882e-06, 0.968044
1.58829e-06, 0.962035
1.58777e-06, 0.957413
1.58724e-06, 0.946556
1.58671e-06, 0.932749
1.58618e-06, 0.9108
1.58566e-06, 0.867808
1.58513e-06, 0.790067
1.58461e-06, 0.609683
1.58408e-06, 0.233925
1.58355e-06, 0.0149379
1.58303e-06, 0.36896
1.5825e-06, 0.681771
1.58198e-06, 0.823916
1.58146e-06, 0.88767
1.58093e-06, 0.921945
1.58041e-06, 0.94145
1.57989e-06, 0.953036
1.57937e-06, 0.961925
1.57884e-06, 0.9666
1.57832e-06, 0.97125
1.5778e-06, 0.974108
1.57728e-06, 0.975907
1.57676e-06, 0.978564
1.57624e-06, 0.978979
1.57572e-06, 0.980724
1.5752e-06, 0.981628
1.57468e-06, 0.981692
1.57416e-06, 0.983371
1.57364e-06, 0.982867
1.57312e-06, 0.983764
1.5726e-06, 0.984404
1.57209e-06, 0.983731
1.57157e-06, 0.985192
1.57105e-06, 0.984468
1.57054e-06, 0.984812
1.57002e-06, 0.985616
1.5695e-06, 0.984461
1.56899e-06, 0.985808
1.56847e-06, 0.985162
1.56796e-06, 0.984951
1.56744e-06, 0.986054
1.56693e-06, 0.984551
1.56642e-06, 0.985696
1.5659e-06, 0.985322
1.56539e-06, 0.984477
1.56488e-06, 0.985885
1.56436e-06, 0.984142
1.56385e-06, 0.984894
1.56334e-06, 0.984923
1.56283e-06, 0.983319
1.56232e-06, 0.984924
1.56181e-06, 0.983008
1.56129e-06, 0.983042
1.56078e-06, 0.98351
1.56027e-06, 0.98087
1.55976e-06, 0.982349
1.55926e-06, 0.980128
1.55875e-06, 0.978702
1.55824e-06, 0.979269
1.55773e-06, 0.974576
1.55722e-06, 0.974668
1.55671e-06, 0.970675
1.55621e-06, 0.964538
1.5557e-06, 0.961694
1.55519e-06, 0.947194
1.55469e-06, 0.933513
1.55418e-06, 0.90359
1.55368e-06, 0.834098
1.55317e-06, 0.683951
1.55267e-06, 0.274278
1.55216e-06, 0.0333803
1.55166e-06, 0.358708
1.55115e-06, 0.729304
1.55065e-06, 0.856933
1.55015e-06, 0.912268
1.54964e-06, 0.941077
1.54914e-06, 0.952336
1.54864e-06, 0.963848
1.54814e-06, 0.968697
1.54763e-06, 0.972083
1.54713e-06, 0.976382
1.54663e-06, 0.977101
1.54613e-06, 0.97935
1.54563e-06, 0.980814
1.54513e-06, 0.980968
1.54463e-06, 0.982584
1.54413e-06, 0.98281
1.54363e-06, 0.983107
1.54313e-06, 0.984153
1.54264e-06, 0.983866
1.54214e-06, 0.984403
1.54164e-06, 0.984922
1.54114e-06, 0.984474
1.54065e-06, 0.98527
1.54015e-06, 0.985166
1.53965e-06, 0.984951
1.53916e-06, 0.985779
1.53866e-06, 0.985077
1.53816e-06, 0.98549
1.53767e-06, 0.985803
1.53717e-06, 0.984988
1.53668e-06, 0.985969
1.53619e-06, 0.985341
1.53569e-06, 0.985197
1.5352e-06, 0.986006
1.5347e-06, 0.984738
1.53421e-06, 0.985624
1.53372e-06, 0.985341
1.53323e-06, 0.984469
1.53273e-06, 0.985734
1.53224e-06, 0.984192
1.53175e-06, 0.984637
1.53126e-06, 0.984922
1.53077e-06, 0.983135
1.53028e-06, 0.984655
1.52979e-06, 0.983033
1.5293e-06, 0.982485
1.52881e-06, 0.98345
1.52832e-06, 0.980402
1.52783e-06, 0.981568
1.52734e-06, 0.979888
1.52685e-06, 0.977013
1.52637e-06, 0.978121
1.52588e-06, 0.972279
1.52539e-06, 0.970159
1.5249e-06, 0.965921
1.52442e-06, 0.952656
1.52393e-06, 0.942885
1.52344e-06, 0.90924
1.52296e-06, 0.835986
1.52247e-06, 0.632471
1.52199e-06, 0.0921447
1.5215e-06, 0.252445
1.52102e-06, 0.72259
1.52053e-06, 0.872306
1.52005e-06, 0.91998
1.51957e-06, 0.949816
1.51908e-06, 0.95965
1.5186e-06, 0.966374
1.51812e-06, 0.974052
1.51764e-06, 0.974119
1.51715e-06, 0.977965
1.51667e-06, 0.980101
1.51619e-06, 0.97926
1.51571e-06, 0.982507
1.51523e-06, 0.981949
1.51475e-06, 0.982135
1.51427e-06, 0.984365
1.51379e-06, 0.982591
1.51331e-06, 0.984228
1.51283e-06, 0.984684
1.51235e-06, 0.983218
1.51187e-06, 0.985649
1.51139e-06, 0.984122
1.51091e-06, 0.984375
1.51044e-06, 0.986
1.50996e-06, 0.98357
1.50948e-06, 0.985834
1.509e-06, 0.985132
1.50853e-06, 0.983939
1.50805e-06, 0.986652
1.50758e-06, 0.983753
1.5071e-06, 0.985376
1.50662e-06, 0.985945
1.50615e-06, 0.983218
1.50567e-06, 0.986812
1.5052e-06, 0.983956
1.50473e-06, 0.984376
1.50425e-06, 0.986631
1.50378e-06, 0.9823
1.50331e-06, 0.986432
1.50283e-06, 0.984238
1.50236e-06, 0.982737
1.50189e-06, 0.987119
1.50141e-06, 0.981124
1.50094e-06, 0.985237
1.50047e-06, 0.984539
1.5e-06, 0.980034



